document_type,title_or_name,source_file,line_count,phase_references,route_reference_count,code_path_references,missing_code_path_reference_count,notes
root_or_other,Phase 12 Stabilization Audit,PHASE_12_STABILIZATION_AUDIT.md,93,PHASE_10_AUTH_INVITATIONS_IMPLEMENTATION;PHASE_11_PORTAL_ACTIONS_IMPLEMENTATION;PHASE_12_REFUND_EXCHANGE_IMPLEMENTATION;PHASE_5_BOOKING_FINANCE_IMPLEMENTATION;PHASE_8_CLIENT_PORTAL_VISIBILITY_IMPLEMENTATION;PHASE_9_PERSISTENCE_TENANT_HARDENING,0,backend/database.py;backend/models.py;backend/routers/;backend/routers/bookings.py;backend/routers/finance.py;backend/routers/portal.py;backend/routers/refunds_exchanges.py;backend/scripts/;backend/scripts/check_portal_isolation.py;backend/scripts/smoke_backend.py;backend/server.py;backend/services/;backend/services/seed_service.py;frontend/src/App.jsx;frontend/src/components/RefundExchangeStatusBadge.jsx;frontend/src/layouts/AgencyLayout.jsx;frontend/src/layouts/ClientPortalLayout.jsx;frontend/src/pages/agency/RefundExchangeCaseCreatePage.jsx;frontend/src/pages/agency/RefundExchangeCaseDetailPage.jsx;frontend/src/pages/agency/RefundExchangeCasesPage.jsx;frontend/src/pages/portal/PortalRefundExchangeCaseDetailPage.jsx;frontend/src/pages/portal/PortalRefundExchangeCasesPage.jsx,0,Only existing repository paths are listed; prose compounds and wildcard examples are excluded from missing-path claims.
root_or_other,Phase 13 PDF Export And Email Delivery Foundation,PHASE_13_PDF_EMAIL_DELIVERY_IMPLEMENTATION.md,125,,11,frontend/src/lib/api.js;frontend/src/pages/agency/DocumentDetailPage.jsx;frontend/src/pages/portal/PortalDocumentDetailPage.jsx,0,Only existing repository paths are listed; prose compounds and wildcard examples are excluded from missing-path claims.
root_or_other,Phase 13 Stabilization Audit,PHASE_13_STABILIZATION_AUDIT.md,100,PHASE_10_AUTH_INVITATIONS_IMPLEMENTATION;PHASE_11_PORTAL_ACTIONS_IMPLEMENTATION;PHASE_12_STABILIZATION_AUDIT;PHASE_13_PDF_EMAIL_DELIVERY_IMPLEMENTATION;PHASE_7_DOCUMENTS_IMPLEMENTATION;PHASE_8_CLIENT_PORTAL_VISIBILITY_IMPLEMENTATION,2,backend/database.py;backend/models.py;backend/routers/;backend/routers/documents.py;backend/scripts/;backend/scripts/check_portal_isolation.py;backend/scripts/smoke_backend.py;backend/server.py;backend/services/;backend/services/document_rendering_service.py;backend/services/seed_service.py;frontend/src/lib/api.js;frontend/src/pages/agency/DocumentDetailPage.jsx;frontend/src/pages/portal/PortalDocumentDetailPage.jsx,0,Only existing repository paths are listed; prose compounds and wildcard examples are excluded from missing-path claims.
root_or_other,Phase 14 Document Delivery Hardening,PHASE_14_DOCUMENT_DELIVERY_HARDENING.md,144,,3,backend/database.py;backend/models.py;backend/routers/documents.py;backend/services/file_storage_service.py;backend/services/seed_service.py;frontend/src/pages/agency/DocumentDetailPage.jsx;frontend/src/pages/portal/PortalDocumentDetailPage.jsx,0,Only existing repository paths are listed; prose compounds and wildcard examples are excluded from missing-path claims.
root_or_other,Phase 14 Stabilization Audit,PHASE_14_STABILIZATION_AUDIT.md,97,PHASE_13_PDF_EMAIL_DELIVERY_IMPLEMENTATION;PHASE_13_STABILIZATION_AUDIT;PHASE_14_DOCUMENT_DELIVERY_HARDENING,0,backend/database.py;backend/models.py;backend/routers/;backend/routers/documents.py;backend/scripts/;backend/scripts/check_portal_isolation.py;backend/scripts/smoke_backend.py;backend/server.py;backend/services/;backend/services/file_storage_service.py;backend/services/seed_service.py;frontend/src/lib/api.js;frontend/src/pages/agency/DocumentDetailPage.jsx;frontend/src/pages/portal/PortalDocumentDetailPage.jsx,0,Only existing repository paths are listed; prose compounds and wildcard examples are excluded from missing-path claims.
root_or_other,Phase 15 Production PDF Rendering And Delivery Infrastructure,PHASE_15_PRODUCTION_PDF_DELIVERY_INFRASTRUCTURE.md,169,,2,backend/requirements.txt;backend/services/pdf_rendering_service.py,0,Only existing repository paths are listed; prose compounds and wildcard examples are excluded from missing-path claims.
root_or_other,Phase 15 Stabilization Audit,PHASE_15_STABILIZATION_AUDIT.md,103,PHASE_13_PDF_EMAIL_DELIVERY_IMPLEMENTATION;PHASE_13_STABILIZATION_AUDIT;PHASE_14_DOCUMENT_DELIVERY_HARDENING;PHASE_14_STABILIZATION_AUDIT;PHASE_15_PRODUCTION_PDF_DELIVERY_INFRASTRUCTURE,1,backend/database.py;backend/models.py;backend/requirements.txt;backend/routers/;backend/routers/documents.py;backend/scripts/;backend/scripts/check_portal_isolation.py;backend/scripts/smoke_backend.py;backend/server.py;backend/services/;backend/services/file_storage_service.py;backend/services/pdf_rendering_service.py;backend/services/seed_service.py;frontend/src/lib/api.js;frontend/src/pages/agency/DocumentDetailPage.jsx;frontend/src/pages/portal/PortalDocumentDetailPage.jsx,0,Only existing repository paths are listed; prose compounds and wildcard examples are excluded from missing-path claims.
root_or_other,Phase 16 Production Delivery Operations And Secret Resolution,PHASE_16_PRODUCTION_DELIVERY_OPERATIONS.md,149,,1,backend/scripts/check_production_readiness.py,0,Only existing repository paths are listed; prose compounds and wildcard examples are excluded from missing-path claims.
root_or_other,Phase 17 Production Configuration Hardening,PHASE_17_PRODUCTION_CONFIGURATION_HARDENING.md,141,,4,backend/config.py;backend/scripts/check_production_readiness.py;frontend/src/lib/api.js,0,Only existing repository paths are listed; prose compounds and wildcard examples are excluded from missing-path claims.
root_or_other,Phase 18 Docker And Hostinger VPS Packaging,PHASE_18_DOCKER_HOSTINGER_PACKAGING.md,100,,2,backend/.dockerignore;backend/Dockerfile;frontend/.dockerignore;frontend/Dockerfile;frontend/nginx.conf,0,Only existing repository paths are listed; prose compounds and wildcard examples are excluded from missing-path claims.
root_or_other,"Phase 19 VPS Reverse Proxy, TLS, Backup, And Operations Runbook",PHASE_19_VPS_OPERATIONS_RUNBOOK.md,104,,3,deploy/hostinger/OPERATIONS_RUNBOOK.md;deploy/hostinger/nginx/aeroassist.conf.example;deploy/hostinger/scripts/backup_exports.sh;deploy/hostinger/scripts/backup_mongo.sh;deploy/hostinger/scripts/deploy.sh;deploy/hostinger/scripts/logs.sh;deploy/hostinger/scripts/restart.sh;deploy/hostinger/scripts/restore_mongo.md;deploy/hostinger/scripts/smoke_production.sh;deploy/hostinger/scripts/status.sh,0,Only existing repository paths are listed; prose compounds and wildcard examples are excluded from missing-path claims.
root_or_other,Phase 1 Implementation,PHASE_1_IMPLEMENTATION.md,77,,14,,0,Only existing repository paths are listed; prose compounds and wildcard examples are excluded from missing-path claims.
root_or_other,Phase 20 Hostinger VPS First Deployment Preparation,PHASE_20_FIRST_DEPLOYMENT_PREPARATION.md,91,,0,deploy/hostinger/FIRST_DEPLOYMENT_CHECKLIST.md;deploy/hostinger/POST_DEPLOYMENT_SECURITY_CHECKLIST.md;deploy/hostinger/TROUBLESHOOTING.md;deploy/hostinger/scripts/preflight.sh,0,Only existing repository paths are listed; prose compounds and wildcard examples are excluded from missing-path claims.
root_or_other,Phase 21 Production Bootstrap And Go-Live Hardening,PHASE_21_PRODUCTION_BOOTSTRAP_GO_LIVE_HARDENING.md,94,,0,backend/scripts/create_first_platform_owner.py;deploy/hostinger/OPERATIONS_RUNBOOK.md;deploy/hostinger/REAL_DEPLOYMENT_NOTES.md,0,Only existing repository paths are listed; prose compounds and wildcard examples are excluded from missing-path claims.
root_or_other,Phase 22 Production Onboarding And Agency Setup,PHASE_22_PRODUCTION_ONBOARDING_AGENCY_SETUP.md,63,,7,,0,Only existing repository paths are listed; prose compounds and wildcard examples are excluded from missing-path claims.
root_or_other,Phase 23 Backup Automation And Lightweight Monitoring Readiness,PHASE_23_BACKUP_AUTOMATION_MONITORING_READINESS.md,128,phase_23_backup_automation_monitoring_readiness,2,deploy/hostinger/scripts;deploy/hostinger/scripts/backup_all.sh;deploy/hostinger/scripts/healthcheck.sh;deploy/hostinger/scripts/prune_backups.sh;deploy/hostinger/scripts/status_full.sh;deploy/hostinger/scripts/verify_backups.sh;deploy/hostinger/systemd;deploy/hostinger/systemd/aeroassist-backup-verify.service;deploy/hostinger/systemd/aeroassist-backup-verify.timer;deploy/hostinger/systemd/aeroassist-backup.service;deploy/hostinger/systemd/aeroassist-backup.timer,0,Only existing repository paths are listed; prose compounds and wildcard examples are excluded from missing-path claims.
root_or_other,Phase 24 Staff Invitation Acceptance And Team Access Hardening,PHASE_24_STAFF_INVITATION_ACCEPTANCE.md,117,phase_24_staff_invitation_acceptance_team_access_hardening,2,,0,Only existing repository paths are listed; prose compounds and wildcard examples are excluded from missing-path claims.
root_or_other,Phase 25 Document Storage Lifecycle And Delivery Provider Readiness,PHASE_25_DOCUMENT_STORAGE_LIFECYCLE_DELIVERY_PROVIDER_READINESS.md,114,phase_25_document_storage_lifecycle_delivery_provider_readiness,8,backend/services/delivery_provider_service.py;backend/services/document_storage_lifecycle_service.py;deploy/hostinger/scripts/check_storage.sh,0,Only existing repository paths are listed; prose compounds and wildcard examples are excluded from missing-path claims.
root_or_other,Phase 26 — Request Intake Operational Request Stabilization,PHASE_26_REQUEST_INTAKE_OPERATIONAL_REQUEST_STABILIZATION.md,79,,8,backend/scripts/smoke_request_intake_conversion.py,0,Only existing repository paths are listed; prose compounds and wildcard examples are excluded from missing-path claims.
root_or_other,Phase 27.1 — Mobility Assistance Logic And Builder UX Correction,PHASE_27_1_MOBILITY_ASSISTANCE_LOGIC_FIX.md,48,PHASE_27_2_ASSISTANCE_ASSESSMENT_SSR_RECOMMENDATION,0,,0,Only existing repository paths are listed; prose compounds and wildcard examples are excluded from missing-path claims.
root_or_other,Phase 27.2 — Assistance Assessment Driven SSR Recommendation,PHASE_27_2_ASSISTANCE_ASSESSMENT_SSR_RECOMMENDATION.md,65,,0,,0,Only existing repository paths are listed; prose compounds and wildcard examples are excluded from missing-path claims.
root_or_other,Phase 27 — Operational Request Builder V1,PHASE_27_OPERATIONAL_REQUEST_BUILDER_V1.md,72,,2,backend/scripts/smoke_operational_request_builder.py,0,Only existing repository paths are listed; prose compounds and wildcard examples are excluded from missing-path claims.
root_or_other,"Phase 28.1 — AgencyOS App Shell, Sidebar Navigation, and Visual Polish Stabilization",PHASE_28_1_APP_SHELL_SIDEBAR_VISUAL_POLISH.md,57,,0,backend/routers/platform.py;backend/scripts/smoke_agency_branding_settings.py;backend/scripts/smoke_operational_request_builder.py;backend/scripts/smoke_request_intake_conversion.py;backend/server.py,0,Only existing repository paths are listed; prose compounds and wildcard examples are excluded from missing-path claims.
root_or_other,"Phase 28 — Agency Branding, Theme, and UI Personalization Settings",PHASE_28_AGENCY_BRANDING_THEME_PERSONALIZATION.md,54,phase_28_agency_branding_theme_personalization,6,backend/database.py;backend/models.py;backend/routers/agencies.py;backend/routers/platform.py;backend/scripts/smoke_agency_branding_settings.py;backend/server.py,0,Only existing repository paths are listed; prose compounds and wildcard examples are excluded from missing-path claims.
root_or_other,Phase 29 — Agency Website Builder / CMS Foundation,PHASE_29_AGENCY_WEBSITE_BUILDER_CMS_FOUNDATION.md,53,,8,backend/database.py;backend/models.py;backend/routers/platform.py;backend/routers/websites.py;backend/scripts/smoke_agency_website_builder.py;backend/server.py,0,Only existing repository paths are listed; prose compounds and wildcard examples are excluded from missing-path claims.
root_or_other,Phase 2 CRM Implementation,PHASE_2_CRM_IMPLEMENTATION.md,90,,18,,0,Only existing repository paths are listed; prose compounds and wildcard examples are excluded from missing-path claims.
root_or_other,"Phase 30.1 — Branding, Logo Asset Management, and Agency Settings Stabilization",PHASE_30_1_BRANDING_LOGO_ASSET_SETTINGS_STABILIZATION.md,52,,4,,0,Only existing repository paths are listed; prose compounds and wildcard examples are excluded from missing-path claims.
root_or_other,"Phase 30 — Public Website Publishing, Intake Forms, and CMS Content Blocks",PHASE_30_PUBLIC_WEBSITE_PUBLISHING_INTAKE_FORMS_CMS_BLOCKS.md,74,,9,backend/models.py;backend/routers/platform.py;backend/routers/websites.py;backend/scripts/smoke_agency_website_builder.py;backend/server.py;backend/services/request_intake_conversion_service.py,0,Only existing repository paths are listed; prose compounds and wildcard examples are excluded from missing-path claims.
root_or_other,"Phase 31 — CMS Media Library, Website Image Assets, and Public Website Visual Polish",PHASE_31_CMS_MEDIA_LIBRARY_PUBLIC_WEBSITE_VISUAL_POLISH.md,36,,1,,0,Only existing repository paths are listed; prose compounds and wildcard examples are excluded from missing-path claims.
blueprint,"Phase 32 — Blueprint Alignment, Canonical Operations Model, and Gap Map",PHASE_32_BLUEPRINT_ALIGNMENT_CANONICAL_OPERATIONS_MODEL.md,40,,0,docs/architecture/agencyos-blueprint-alignment-gap-map.md;docs/architecture/canonical-operations-model.md;docs/architecture/current-model-inventory.md,0,Only existing repository paths are listed; prose compounds and wildcard examples are excluded from missing-path claims.
root_or_other,"Phase 33.1 — Global Reference Data Governance, Bulk Import, and Agency Suggestion Queue",PHASE_33_1_GLOBAL_REFERENCE_GOVERNANCE_SUGGESTIONS.md,53,,3,backend/scripts/import_reference_data_csv.py;backend/scripts/smoke_reference_data_governance.py,0,Only existing repository paths are listed; prose compounds and wildcard examples are excluded from missing-path claims.
root_or_other,Phase 33 — Reference Data Core and Service Catalogue,PHASE_33_REFERENCE_DATA_CORE_SERVICE_CATALOGUE.md,29,,2,backend/scripts/bootstrap_reference_data.py;backend/scripts/smoke_reference_data_core.py,0,Only existing repository paths are listed; prose compounds and wildcard examples are excluded from missing-path claims.
root_or_other,Phase 34.1 — Global Field Library and Agency Form Profiles,PHASE_34_1_GLOBAL_FIELD_LIBRARY_AGENCY_FORM_PROFILES.md,41,,0,backend/scripts/smoke_form_profiles_field_library.py;backend/services/form_profile_service.py,0,Only existing repository paths are listed; prose compounds and wildcard examples are excluded from missing-path claims.
root_or_other,Phase 34.2 — Platform Reference Data Console and Enriched Countries,PHASE_34_2_PLATFORM_REFERENCE_DATA_CONSOLE_ENRICHED_COUNTRIES.md,61,,5,backend/scripts/smoke_platform_reference_console.py,0,Only existing repository paths are listed; prose compounds and wildcard examples are excluded from missing-path claims.
root_or_other,Phase 34.3 — Reference Data Enrichment Import Packs,PHASE_34_3_REFERENCE_DATA_ENRICHMENT_IMPORT_PACKS.md,66,,4,,0,Only existing repository paths are listed; prose compounds and wildcard examples are excluded from missing-path claims.
root_or_other,"Phase 34 — Segment-Scoped Request Services, Pets, and Special Items",PHASE_34_SEGMENT_SCOPED_REQUEST_SERVICES_PETS_ITEMS.md,42,,0,,0,Only existing repository paths are listed; prose compounds and wildcard examples are excluded from missing-path claims.
root_or_other,Phase 35: Trip Dossier Foundation,PHASE_35_TRIP_DOSSIER_FOUNDATION.md,88,,12,backend/scripts/smoke_trip_dossier_foundation.py;backend/services/trip_dossier_service.py,0,Only existing repository paths are listed; prose compounds and wildcard examples are excluded from missing-path claims.
root_or_other,Phase 3 Requests Implementation,PHASE_3_REQUESTS_IMPLEMENTATION.md,89,,14,,0,Only existing repository paths are listed; prose compounds and wildcard examples are excluded from missing-path claims.
root_or_other,Phase 4 Offers Implementation,PHASE_4_OFFERS_IMPLEMENTATION.md,91,,9,,0,Only existing repository paths are listed; prose compounds and wildcard examples are excluded from missing-path claims.
root_or_other,Phase 5 Booking and Finance Tracking Implementation,PHASE_5_BOOKING_FINANCE_IMPLEMENTATION.md,100,,20,,0,Only existing repository paths are listed; prose compounds and wildcard examples are excluded from missing-path claims.
root_or_other,Phase 6 Airline Intelligence Implementation,PHASE_6_AIRLINE_INTELLIGENCE_IMPLEMENTATION.md,121,,24,,0,Only existing repository paths are listed; prose compounds and wildcard examples are excluded from missing-path claims.
root_or_other,Phase 7 Branded Document Output Implementation,PHASE_7_DOCUMENTS_IMPLEMENTATION.md,109,,15,backend/services/document_rendering_service.py,0,Only existing repository paths are listed; prose compounds and wildcard examples are excluded from missing-path claims.
root_or_other,Phase 8 Client Portal Visibility Implementation,PHASE_8_CLIENT_PORTAL_VISIBILITY_IMPLEMENTATION.md,109,,31,backend/routers/;backend/services/,0,Only existing repository paths are listed; prose compounds and wildcard examples are excluded from missing-path claims.
root_or_other,Phase 8 Stabilization Audit,PHASE_8_STABILIZATION_AUDIT.md,114,PHASE_1_IMPLEMENTATION;PHASE_2_CRM_IMPLEMENTATION;PHASE_3_REQUESTS_IMPLEMENTATION;PHASE_4_OFFERS_IMPLEMENTATION;PHASE_5_BOOKING_FINANCE_IMPLEMENTATION;PHASE_6_AIRLINE_INTELLIGENCE_IMPLEMENTATION;PHASE_7_DOCUMENTS_IMPLEMENTATION;PHASE_8_CLIENT_PORTAL_VISIBILITY_IMPLEMENTATION,3,backend/routers/;backend/server.py;backend/services/;frontend/src/;frontend/src/App.jsx;frontend/src/layouts/PlatformLayout.jsx,0,Only existing repository paths are listed; prose compounds and wildcard examples are excluded from missing-path claims.
root_or_other,Phase 9 Production Persistence And Tenant Hardening,PHASE_9_PERSISTENCE_TENANT_HARDENING.md,134,PHASE_1_IMPLEMENTATION;PHASE_2_CRM_IMPLEMENTATION;PHASE_3_REQUESTS_IMPLEMENTATION;PHASE_4_OFFERS_IMPLEMENTATION;PHASE_5_BOOKING_FINANCE_IMPLEMENTATION;PHASE_6_AIRLINE_INTELLIGENCE_IMPLEMENTATION;PHASE_7_DOCUMENTS_IMPLEMENTATION;PHASE_8_CLIENT_PORTAL_VISIBILITY_IMPLEMENTATION;PHASE_8_STABILIZATION_AUDIT,0,backend/database.py;backend/routers/;backend/scripts/;backend/scripts/check_portal_isolation.py;backend/scripts/smoke_backend.py;backend/services/;backend/services/tenant_service.py,0,Only existing repository paths are listed; prose compounds and wildcard examples are excluded from missing-path claims.
root_or_other,AeroAssist AgencyOS Product Specification,PRODUCT_SPEC.md,155,,0,,0,Only existing repository paths are listed; prose compounds and wildcard examples are excluded from missing-path claims.
